label,image_paths,calories,protein_g,fat_g,carbohydrates_g,fiber_g
garlic,"[""garlic/Image_1.jpg"", ""garlic/Image_10.jpg"", ""garlic/Image_2.jpg"", ""garlic/Image_3.jpg"", ""garlic/Image_4.jpg"", ""garlic/Image_5.jpg"", ""garlic/Image_6.jpg"", ""garlic/Image_7.jpg"", ""garlic/Image_8.jpg"", ""garlic/Image_9.jpg""]",149,6.4,0.5,33.1,2.1
ginger,"[""ginger/Image_1.jpg"", ""ginger/Image_10.jpg"", ""ginger/Image_2.jpg"", ""ginger/Image_3.jpg"", ""ginger/Image_4.jpg"", ""ginger/Image_5.jpg"", ""ginger/Image_6.jpg"", ""ginger/Image_7.jpg"", ""ginger/Image_8.jpg"", ""ginger/Image_9.jpg""]",80,1.8,0.8,17.8,2
grapes,"[""grapes/Image_1.jpg"", ""grapes/Image_10.jpg"", ""grapes/Image_2.jpg"", ""grapes/Image_3.jpg"", ""grapes/Image_4.jpg"", ""grapes/Image_5.jpeg"", ""grapes/Image_6.jpg"", ""grapes/Image_7.JPG"", ""grapes/Image_8.jpg"", ""grapes/Image_9.jpg""]",69,0.7,0.2,18.1,0.9
jalepeno,"[""jalepeno/Image_1.jpeg"", ""jalepeno/Image_10.jpg"", ""jalepeno/Image_2.jpg"", ""jalepeno/Image_3.jpg"", ""jalepeno/Image_4.jpg"", ""jalepeno/Image_5.jpg"", ""jalepeno/Image_6.jpg"", ""jalepeno/Image_7.jpg"", ""jalepeno/Image_8.jpg"", ""jalepeno/Image_9.jpg""]",29,0.9,0.4,6.5,2.8
kiwi,"[""kiwi/Image_1.jpg"", ""kiwi/Image_10.jpg"", ""kiwi/Image_2.jpg"", ""kiwi/Image_3.jpg"", ""kiwi/Image_4.jpg"", ""kiwi/Image_5.jpg"", ""kiwi/Image_6.jpg"", ""kiwi/Image_7.jpg"", ""kiwi/Image_8.jpg"", ""kiwi/Image_9.jpg""]",61,1.1,0.5,14.7,3
lemon,"[""lemon/Image_1.png"", ""lemon/Image_10.jpg"", ""lemon/Image_2.jpg"", ""lemon/Image_3.jpg"", ""lemon/Image_4.jpg"", ""lemon/Image_5.jpg"", ""lemon/Image_6.png"", ""lemon/Image_7.jpg"", ""lemon/Image_8.jpg"", ""lemon/Image_9.png""]",29,1.1,0.3,9.3,2.8
lettuce,"[""lettuce/Image_1.jpg"", ""lettuce/Image_10.jpg"", ""lettuce/Image_2.jpg"", ""lettuce/Image_3.jpg"", ""lettuce/Image_4.jpg"", ""lettuce/Image_5.jpeg"", ""lettuce/Image_6.jpg"", ""lettuce/Image_7.jpg"", ""lettuce/Image_8.jpg"", ""lettuce/Image_9.jpg""]",15,1.4,0.2,2.9,1.3
mango,"[""mango/Image_1.jpg"", ""mango/Image_10.jpg"", ""mango/Image_2.jpg"", ""mango/Image_3.jpg"", ""mango/Image_4.jpg"", ""mango/Image_5.jpg"", ""mango/Image_6.jpg"", ""mango/Image_7.jpg"", ""mango/Image_8.jpg"", ""mango/Image_9.jpg""]",60,0.8,0.4,15,1.6
onion,"[""onion/Image_1.jpg"", ""onion/Image_10.jpg"", ""onion/Image_2.jpg"", ""onion/Image_3.jpg"", ""onion/Image_4.jpg"", ""onion/Image_5.jpg"", ""onion/Image_6.jpg"", ""onion/Image_7.png"", ""onion/Image_8.jpg"", ""onion/Image_9.jpg""]",40,1.1,0.1,9.3,1.7
orange,"[""orange/Image_1.png"", ""orange/Image_10.png"", ""orange/Image_2.jpg"", ""orange/Image_3.jpg"", ""orange/Image_4.jpg"", ""orange/Image_5.jpg"", ""orange/Image_6.jpg"", ""orange/Image_7.jpg"", ""orange/Image_8.jpeg"", ""orange/Image_9.jpg""]",47,0.9,0.1,11.8,2.4
paprika,"[""paprika/Image_1.jpg"", ""paprika/Image_10.jpg"", ""paprika/Image_2.jpg"", ""paprika/Image_3.jpg"", ""paprika/Image_4.jpg"", ""paprika/Image_5.jpg"", ""paprika/Image_6.jpg"", ""paprika/Image_7.jpg"", ""paprika/Image_8.jpg"", ""paprika/Image_9.jpg""]",282,14.1,13,53.9,34.9
pear,"[""pear/Image_1.jpg"", ""pear/Image_10.jpg"", ""pear/Image_2.jpg"", ""pear/Image_3.jpg"", ""pear/Image_4.jpg"", ""pear/Image_5.jpg"", ""pear/Image_6.jpg"", ""pear/Image_7.jpg"", ""pear/Image_8.jpg"", ""pear/Image_9.jpg""]",57,0.4,0.1,15.2,3.1
peas,"[""peas/Image_1.jpg"", ""peas/Image_10.jpg"", ""peas/Image_2.jpg"", ""peas/Image_3.jpg"", ""peas/Image_4.jpg"", ""peas/Image_5.jpg"", ""peas/Image_6.png"", ""peas/Image_7.jpg"", ""peas/Image_8.jpg"", ""peas/Image_9.jpg""]",81,5.4,0.4,14.5,5.7
pineapple,"[""pineapple/Image_1.jpg"", ""pineapple/Image_10.jpg"", ""pineapple/Image_2.jpg"", ""pineapple/Image_3.jpg"", ""pineapple/Image_4.jpg"", ""pineapple/Image_5.jpg"", ""pineapple/Image_6.jpg"", ""pineapple/Image_7.jpg"", ""pineapple/Image_8.jpg"", ""pineapple/Image_9.jpg""]",50,0.5,0.1,13.1,1.4
pomegranate,"[""pomegranate/Image_1.jpg"", ""pomegranate/Image_10.jpg"", ""pomegranate/Image_2.jpg"", ""pomegranate/Image_3.jpg"", ""pomegranate/Image_4.jpg"", ""pomegranate/Image_5.jpg"", ""pomegranate/Image_6.jpg"", ""pomegranate/Image_7.jpg"", ""pomegranate/Image_8.jpg"", ""pomegranate/Image_9.jpg""]",83,1.7,1.2,18.7,4
potato,"[""potato/Image_1.jpg"", ""potato/Image_10.jpg"", ""potato/Image_2.jpg"", ""potato/Image_3.jpg"", ""potato/Image_4.jpg"", ""potato/Image_5.JPG"", ""potato/Image_6.jpg"", ""potato/Image_7.jpg"", ""potato/Image_8.jpg"", ""potato/Image_9.jpg""]",77,2,0.1,17.5,2.2
raddish,"[""raddish/Image_1.jpg"", ""raddish/Image_10.jpg"", ""raddish/Image_2.jpg"", ""raddish/Image_3.jpg"", ""raddish/Image_4.jpg"", ""raddish/Image_5.png"", ""raddish/Image_6.jpg"", ""raddish/Image_7.jpg"", ""raddish/Image_8.jpg"", ""raddish/Image_9.jpeg""]",16,0.7,0.1,3.4,1.6
soy beans,"[""soy beans/Image_1.jpg"", ""soy beans/Image_10.jpg"", ""soy beans/Image_2.jpg"", ""soy beans/Image_3.jpg"", ""soy beans/Image_4.jpg"", ""soy beans/Image_5.jpg"", ""soy beans/Image_6.jpg"", ""soy beans/Image_7.jpg"", ""soy beans/Image_8.jpg"", ""soy beans/Image_9.jpg""]",446,36.5,19.9,30.2,9.3
spinach,"[""spinach/Image_1.jpg"", ""spinach/Image_10.jpg"", ""spinach/Image_2.jpg"", ""spinach/Image_3.jpg"", ""spinach/Image_4.jpg"", ""spinach/Image_5.jpg"", ""spinach/Image_6.jpg"", ""spinach/Image_7.jpg"", ""spinach/Image_8.jpg"", ""spinach/Image_9.jpg""]",23,2.9,0.4,3.6,2.2
sweetcorn,"[""sweetcorn/Image_1.jpg"", ""sweetcorn/Image_10.jpg"", ""sweetcorn/Image_2.jpg"", ""sweetcorn/Image_3.jpg"", ""sweetcorn/Image_4.jpg"", ""sweetcorn/Image_5.jpg"", ""sweetcorn/Image_6.jpg"", ""sweetcorn/Image_7.jpg"", ""sweetcorn/Image_8.jpg"", ""sweetcorn/Image_9.jpg""]",86,3.3,1.4,19,2.7
sweetpotato,"[""sweetpotato/Image_1.jpg"", ""sweetpotato/Image_10.jpg"", ""sweetpotato/Image_2.jpg"", ""sweetpotato/Image_3.jpg"", ""sweetpotato/Image_4.jpg"", ""sweetpotato/Image_5.jpg"", ""sweetpotato/Image_6.jpg"", ""sweetpotato/Image_7.jpg"", ""sweetpotato/Image_8.jpg"", ""sweetpotato/Image_9.jpg""]",86,1.6,0.1,20.1,3
tomato,"[""tomato/Image_1.jpg"", ""tomato/Image_10.jpg"", ""tomato/Image_2.jpg"", ""tomato/Image_3.jpg"", ""tomato/Image_4.jpg"", ""tomato/Image_5.jpg"", ""tomato/Image_6.jpg"", ""tomato/Image_7.jpg"", ""tomato/Image_8.jpg"", ""tomato/Image_9.jpg""]",18,0.9,0.2,3.9,1.2
turnip,"[""turnip/Image_1.jpg"", ""turnip/Image_10.jpg"", ""turnip/Image_2.jpg"", ""turnip/Image_3.jpg"", ""turnip/Image_4.jpg"", ""turnip/Image_5.jpg"", ""turnip/Image_6.jpg"", ""turnip/Image_7.jpg"", ""turnip/Image_8.jpg"", ""turnip/Image_9.jpg""]",28,0.9,0.1,6.4,1.8
watermelon,"[""watermelon/Image_1.jpg"", ""watermelon/Image_10.jpg"", ""watermelon/Image_2.jpg"", ""watermelon/Image_3.jpg"", ""watermelon/Image_4.jpg"", ""watermelon/Image_5.jpg"", ""watermelon/Image_6.jpg"", ""watermelon/Image_7.jpg"", ""watermelon/Image_8.jpg"", ""watermelon/Image_9.jpg""]",30,0.6,0.2,7.6,0.4
